date,global_active_power,global_reactive_power,sub_metering_1,sub_metering_2,sub_metering_3,voltage,global_intensity,sub_metering_remainder,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,is_weekend,is_holiday,month,day_of_week,day_of_month,day_of_year,week_of_year,season,sin_month,cos_month,sin_dayofweek,cos_dayofweek,sin_dayofyear,cos_dayofyear
2006-12-16,1209.176,34.922,0.0,546.0,4926.0,236.24376262626265,13.082828282828284,14680.933333333334,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,1,0,12,5,16,350,50,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,-0.2553532951161881,0.9668478136052773
2006-12-17,3390.46,226.006,2033.0,4187.0,13341.0,240.0870277777778,9.999027777777778,36946.66666666666,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,1,0,12,6,17,351,50,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,-0.23867276600594997,0.9711000518829505
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,241.23169444444449,6.421666666666667,19028.43333333333,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,0,18,352,51,0,-2.4492935982947064e-16,1.0,0.0,1.0,-0.22192151300416674,0.9750645322571945
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,241.9993125,4.926388888888889,13131.9,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,1,19,353,51,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,-0.20510449986861926,0.9787400799669153
2006-12-20,2225.748,160.998,0.0,2648.0,14063.0,242.3080625,6.467361111111111,20384.800000000003,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,2,20,354,51,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,-0.1882267098432439,0.9821256058680006
2006-12-21,1717.114,144.166,1765.0,2623.0,10421.0,241.0419027777778,5.028194444444445,13809.566666666666,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,3,21,355,51,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,-0.1712931441814778,0.9852201067560606
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,241.1845486111111,6.872916666666667,24390.300000000003,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,4,22,356,51,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,-0.154308820664281,0.9880226656636976
2006-12-23,4773.386,221.47,2669.0,425.0,14726.0,240.1360763888889,14.028055555555556,61736.43333333333,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,1,0,12,5,23,357,51,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,-0.13727877211326517,0.9905324521322227
2006-12-24,2550.012,149.9,1703.0,5082.0,6891.0,241.6874375,7.640416666666667,28824.2,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,1,0,12,6,24,358,51,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,-0.12020804489935275,0.9927487224577402
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,243.3999305555556,7.951527777777779,31341.666666666664,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,1,12,0,25,359,52,0,-2.4492935982947064e-16,1.0,0.0,1.0,-0.10310169744743544,0.9946708199115211
2006-12-26,3934.11,165.102,1086.0,2533.0,14979.0,241.6254375,11.347916666666666,46970.5,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,1,26,360,52,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,-0.0859647987374467,0.9962981749346077
2006-12-27,1528.76,178.902,0.0,314.0,6976.0,243.76736111111111,4.5175,18189.33333333333,5.507909090909091,8.581818181818182,4.854545454545455,1.481818181818182,4.65,0,0,12,2,27,361,52,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,-0.06880242680232064,0.9976303053065857
